timestamp,open,high,low,close,volume
2025-09-11 18:00:00,114.81,114.94,114.38,114.83,12924.789
2025-09-11 19:00:00,114.82,115.2,114.68,115.0,9910.165
2025-09-11 20:00:00,115.01,115.33,114.9,115.21,15566.895
2025-09-11 21:00:00,115.21,115.53,115.14,115.29,7943.676
2025-09-11 22:00:00,115.29,116.12,115.26,115.93,14706.52
2025-09-11 23:00:00,115.94,116.07,115.73,115.83,7931.92
2025-09-12 00:00:00,115.83,116.96,115.58,116.31,36154.999
2025-09-12 01:00:00,116.31,116.64,114.72,114.97,40414.44
2025-09-12 02:00:00,114.97,116.09,114.92,115.89,17237.189
2025-09-12 03:00:00,115.89,115.91,115.42,115.56,32555.834
2025-09-12 04:00:00,115.55,115.63,115.25,115.55,13420.83
2025-09-12 05:00:00,115.55,116.28,115.33,116.28,13190.947
2025-09-12 06:00:00,116.27,116.46,115.92,116.02,9993.661
2025-09-12 07:00:00,116.01,116.3,115.63,115.73,11485.599
2025-09-12 08:00:00,115.73,115.92,115.46,115.74,12328.135
2025-09-12 09:00:00,115.74,115.9,115.34,115.72,15938.457
2025-09-12 10:00:00,115.71,115.95,115.38,115.51,12052.339
2025-09-12 11:00:00,115.51,116.2,115.37,115.42,15025.702
2025-09-12 12:00:00,115.42,115.71,114.92,115.54,16872.108
2025-09-12 13:00:00,115.54,116.01,115.42,115.95,7415.302
2025-09-12 14:00:00,115.94,116.86,115.72,116.7,25123.717
2025-09-12 15:00:00,116.7,116.74,115.83,116.52,21657.451
2025-09-12 16:00:00,116.52,117.19,116.39,117.19,23200.863
2025-09-12 17:00:00,117.19,117.74,116.95,117.42,27001.559
2025-09-12 18:00:00,117.42,117.82,117.03,117.2,35516.743
2025-09-12 19:00:00,117.19,117.34,117.01,117.26,10892.352
2025-09-12 20:00:00,117.26,117.88,116.82,117.71,32097.844
2025-09-12 21:00:00,117.7,117.71,117.12,117.32,19249.94
2025-09-12 22:00:00,117.32,118.01,117.31,117.79,15872.794
2025-09-12 23:00:00,117.8,118.27,117.7,118.03,13879.874
2025-09-13 00:00:00,118.03,118.33,117.61,118.32,11214.375
2025-09-13 01:00:00,118.33,118.55,117.69,117.76,11881.659
2025-09-13 02:00:00,117.75,118.07,117.46,117.84,10903.368
2025-09-13 03:00:00,117.84,118.24,117.7,118.05,28319.897
2025-09-13 04:00:00,118.05,118.12,117.71,117.85,9374.917
2025-09-13 05:00:00,117.85,118.48,117.63,118.38,13303.91
2025-09-13 06:00:00,118.38,119.49,118.34,118.99,27100.836
2025-09-13 07:00:00,119.0,119.0,118.52,118.78,11404.982
2025-09-13 08:00:00,118.78,120.16,118.69,119.62,32046.722
2025-09-13 09:00:00,119.61,120.21,119.46,120.11,23128.492
2025-09-13 10:00:00,120.09,120.54,119.66,119.92,18466.291
2025-09-13 11:00:00,119.91,120.65,119.46,120.63,16093.068
2025-09-13 12:00:00,120.64,120.66,119.92,120.07,11948.186
2025-09-13 13:00:00,120.08,120.83,118.0,119.43,63333.956
